"","mean","se_mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","n_eff","Rhat"
"lambda[1]",0.174179797952594,0.00016789514868345,0.0167630101699196,0.142856603780535,0.16258027983772,0.173519834184496,0.185030483589639,0.20872238933463,9968.45200368602,1.00049724439494
"lambda[2]",0.170239506287124,0.000158695889686294,0.015267582482049,0.141503518542578,0.159873073383352,0.169639669095372,0.180162858247127,0.201847417239075,9255.69836679043,1.00049431511093
"lambda[3]",0.164869826271092,0.000148860643755516,0.0142156815878346,0.138480701689321,0.155110990728745,0.164328460405758,0.174089531704566,0.19425847533783,9119.59578141617,1.00051647629503
"lambda[4]",0.159502411951337,0.000140427870951855,0.0134366048766396,0.134128006422971,0.150314856460714,0.15911074832292,0.168402718553033,0.187085817905842,9155.2976763932,1.0003371519351
"lambda[5]",0.154169768390267,0.000132725244979297,0.0129224677241094,0.129494451698243,0.145347270512728,0.153887679152344,0.162657464173769,0.180003175011225,9479.46529677636,1.00023100588623
"lambda[6]",0.149767532804373,0.000127096461352227,0.0123782730796964,0.125990573177939,0.141336080752637,0.149525219787139,0.157885891833063,0.174935095009602,9485.34651628279,1.00028560058525
"lambda[7]",0.146024039281609,0.000118339344941339,0.0117143563701343,0.123451906405285,0.138057327085653,0.145817850501497,0.153765657355381,0.16966351442443,9798.92744090232,1.00031655232498
"lambda[8]",0.141233719661585,0.000111020049088183,0.0112732680447545,0.119425874426517,0.133671255915389,0.14114244496995,0.148768357395691,0.163776628581915,10310.9062151419,1.0003069052565
"lambda[9]",0.136587813363645,0.000109986484772306,0.0111666693477113,0.114819955710099,0.129124746937987,0.136520868235,0.143947720345925,0.158895239428125,10307.8637459414,1.00031313630828
"lambda[10]",0.133044621125363,0.000110112109579477,0.0110717942478845,0.111471646895077,0.125637688377202,0.132867977201545,0.140372329665467,0.155209567009491,10110.3420027443,1.00044428257918
"lambda[11]",0.131119629884021,0.000110791625390839,0.0109214999487739,0.110218465852368,0.123776883121672,0.131014013667515,0.138195837699462,0.153234127891502,9717.4140609057,1.00067413015219
"lambda[12]",0.130410889007582,0.000115202647924694,0.0106771366947637,0.11039633552364,0.123123874216472,0.130108135674079,0.137359426224133,0.152203786513735,8589.83225411818,1.00040453165796
"lambda[13]",0.124834396175522,0.000112159396031954,0.0104096037824782,0.105425530219557,0.117645088311289,0.124530482621984,0.131583167483315,0.146378255562195,8613.84543941524,1.00045751072838
"lambda[14]",0.117847399425579,0.000105095923410265,0.0102284692287136,0.098577268047763,0.110830323730004,0.117577188708669,0.124427148697977,0.138839660707944,9472.17133616671,1.0002100775403
"lambda[15]",0.109593306286406,9.80196107636359e-05,0.0100317981861431,0.0905434966699259,0.102833840439783,0.109336823916822,0.116123661427874,0.130109272371337,10474.4596040731,1.00028512199442
"lambda[16]",0.100548216343787,9.29701695562085e-05,0.0100800172045992,0.0810592531539189,0.0937795127508864,0.100464213000483,0.107148621008714,0.120844241094771,11755.3428678539,1.00032646724465
"lambda[17]",0.0911968114215272,8.92603767026345e-05,0.0101911443130684,0.0713307326095308,0.0845220330842563,0.0912024032640716,0.0978986996018731,0.111351284705194,13035.5233632108,1.00023494607182
"lambda[18]",0.0822555743227084,9.29203193820905e-05,0.0102843699883447,0.0616560095979892,0.0754353656925219,0.0823777175341413,0.0891012822679896,0.102149356693164,12249.9409984678,1.00018837983249
"lambda[19]",0.073514990645696,9.68892510846962e-05,0.0104551217582746,0.0522594851246844,0.0667105808830316,0.073695977918582,0.0804530959126046,0.0935932518099034,11644.1285615135,1.00022995278743
"lambda[20]",0.0652091964492999,0.000106350051396917,0.0106860355344306,0.0436959585447743,0.0582206853641914,0.0654138534343369,0.0724946260609342,0.08565022734664,10096.1970863524,1.00011779267654
"lambda[21]",0.0572484554265098,0.000113198429005386,0.0108439438802233,0.035310654347438,0.0501164747736837,0.0574015394800274,0.0646187440404326,0.0780841196402279,9176.85190966374,1.00019516047763
"lambda[22]",0.0501413657467647,0.000122792609603118,0.0110446521450013,0.0278466470199471,0.0428640016798435,0.0503962447466538,0.0577245601784191,0.0710854716572829,8090.20685543056,1.00029627904609
"lambda[23]",0.0436231823026177,0.000129823351647445,0.0112267746393959,0.0212461153117053,0.036205671921596,0.0438934575238487,0.0511944217965905,0.0652552139809046,7478.32569603423,1.00029959392244
"lambda[24]",0.03793540899849,0.000131299920958603,0.0111416182802703,0.0156617970137263,0.0304330622509474,0.0380984994255383,0.0455608923042971,0.0591481551805913,7200.58233996348,1.0004624035272
"lambda[25]",0.0329368602425876,0.00013063721958822,0.0110174447969159,0.0111914310261941,0.0253742812484004,0.0330073792964941,0.0405644145333587,0.054280524317575,7112.59220085497,1.00034323624434
"lambda[26]",0.0284916419771266,0.000128843245215777,0.0106850442127341,0.00745852601360553,0.0211672185306209,0.0284468398764629,0.0358793285726508,0.0493148981481247,6877.48001510264,1.00025825607085
"lambda[27]",0.024576138187201,0.00012207081781424,0.0102715353226195,0.00539983218454419,0.0172746014803806,0.0243957508900186,0.0315489575815372,0.0451528845479747,7080.22435555791,1.00020699328918
"lambda[28]",0.0211601201552193,0.00011096164573533,0.00975761133232675,0.00355861794842917,0.0140916421043659,0.0208502094253455,0.0277072616036785,0.0412770760145376,7732.87965879458,1.00006979553898
"lambda[29]",0.0184625586064441,0.000103200144624493,0.00928450088188431,0.0024334485017577,0.0116485094764507,0.017867544766464,0.0245891927011689,0.0380185461617392,8093.87535110505,1.00008686840745
"lambda[30]",0.0166133827580058,9.71814851601788e-05,0.00884896395518254,0.00183671409858887,0.010030677894362,0.0158989697473756,0.0223668517425307,0.0357589314083618,8291.20758351502,1.00011986137309
