"","mean","se_mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","n_eff","Rhat"
"sigma",0.0121913619747326,5.28913187308308e-05,0.00271251042435042,0.00785575821593107,0.0102437749408971,0.0118503497170185,0.0137771138708627,0.0184201172581785,2630.11077848205,1.00248149606693
"lambda[1]",0.205875955354203,0.000242946974506238,0.0224481454866665,0.165084197910067,0.190324706533148,0.204716641733552,0.219993979173148,0.253937399460715,8537.64213030433,1.00046479400832
"lambda[2]",0.199325484867742,0.000207676441246805,0.0198402525659506,0.16270391595465,0.18560433578802,0.198516452936627,0.212029189382313,0.240908210092507,9126.82927233984,1.00034571099321
"lambda[3]",0.18853101074495,0.000168317674514015,0.0181509259058188,0.154867010421218,0.17610407386507,0.187805128261755,0.20038117561325,0.225487719881965,11628.8862747192,1.00003058466889
"lambda[4]",0.178058362933127,0.000159503240344442,0.0175238483971763,0.144394232689073,0.166201364868955,0.177866177465139,0.18971097681973,0.212824834761507,12070.3525225056,1.00011098430291
"lambda[5]",0.168806931926946,0.000167972663344943,0.0177438744014713,0.133221823489807,0.157178245558269,0.168837508389775,0.180684133788067,0.203463022118941,11158.856499034,1.00016375445752
"lambda[6]",0.162959542742804,0.000175245213860712,0.0176574878248431,0.126915696517487,0.151550880892712,0.163347280435887,0.174737430496198,0.196654658967562,10152.3247043026,1.00025843021278
"lambda[7]",0.160930539168102,0.000155095962261318,0.0165563438565974,0.127408366413372,0.150183925033484,0.161289401893517,0.172014116933026,0.192449192094226,11395.3558578433,1.00021529376939
"lambda[8]",0.157578060265701,0.000152832397825566,0.0162178818383471,0.124701790706352,0.147132176555826,0.157820974572461,0.168489405173765,0.188666289390283,11260.4931286558,1.00030043039213
"lambda[9]",0.156448434689494,0.000144277362546501,0.0161063316270293,0.123845751675327,0.145958242676998,0.156783152727607,0.167182829692303,0.18762155315113,12462.2622058943,1.00027805500587
"lambda[10]",0.158263999926181,0.000132053886176565,0.0158941778625329,0.126429978090857,0.14796266232237,0.158268835625354,0.168750339092205,0.189091400200422,14486.8433621376,1.00010081094504
"lambda[11]",0.164791966553906,0.000146165340466639,0.0156073117146835,0.135327075324297,0.154197514201697,0.164355469295327,0.174864035119572,0.197268249234276,11401.6420830873,1.00045325421014
"lambda[12]",0.176471311792022,0.000237745500001449,0.0168605818550251,0.146924415101181,0.164565446757615,0.175279133363059,0.186984696779601,0.212800208027593,5029.45011605383,1.00107135919889
"lambda[13]",0.171240590030536,0.000241890140152305,0.0168399915739436,0.141136148341777,0.159447871122619,0.170154960545165,0.181743607206092,0.208166771178048,4846.71415896777,1.00105329427841
"lambda[14]",0.160913615562783,0.00021631966094706,0.0160806617152353,0.131872890554873,0.149612249152435,0.159977765058035,0.171087632806848,0.194758865829473,5526.06316368712,1.00082065723495
"lambda[15]",0.146486418131849,0.000171894141747139,0.0152643659456876,0.118333479616355,0.135963104629918,0.145804106955689,0.156211840848022,0.178071154156774,7885.61167494659,1.00030962192092
"lambda[16]",0.130117120211921,0.000136459048256121,0.0147631878899958,0.101746437366491,0.120317558366101,0.12982874870901,0.139625449646487,0.159911437844064,11704.5741738014,1.00004749524523
"lambda[17]",0.113357732571509,0.000123711729443652,0.0149834056886347,0.0832500917714958,0.103766322331295,0.113484035033928,0.123218886360487,0.142190976615302,14668.9598783007,1.00027085669131
"lambda[18]",0.0977631743401578,0.000144872118631119,0.0155435222378381,0.065017062946804,0.0880458042743274,0.0983842883987067,0.108055216498025,0.12690584241126,11511.429419091,1.00049606752396
"lambda[19]",0.0832268905551892,0.000177682883887361,0.0161891157744891,0.0486983448909091,0.0732786749536723,0.0839164160152145,0.094266841830532,0.113001319688378,8301.47126396801,1.00085804336892
"lambda[20]",0.0702429885641797,0.000206438064013463,0.0168239150325126,0.0346682253199766,0.0596665145971242,0.0711721076543217,0.0817550722352008,0.100982919173273,6641.62846692063,1.00106863605007
"lambda[21]",0.0589240404170455,0.000227894114173478,0.017093104150718,0.0227372045497356,0.0479378734816645,0.0597241162215438,0.0706508940049339,0.0902569751288716,5625.68822731044,1.00113034273364
"lambda[22]",0.0495265825433947,0.000231128580302273,0.0168521247877827,0.0151342663577329,0.0381670700118079,0.0500931480826897,0.0614130464983267,0.081041849623817,5316.20879244796,1.00117736186921
"lambda[23]",0.042107248687401,0.000225529182114235,0.0161885897978417,0.00992394992387028,0.0308250110912825,0.0424967460478616,0.0534393119543766,0.0726623024390687,5152.43530495899,1.00113257726003
"lambda[24]",0.0366250613540023,0.000209092027594571,0.0155032636333654,0.00726663811814648,0.02559057671734,0.0365408913714456,0.0473768897261804,0.0670663802515598,5497.57694410131,1.00120792852887
"lambda[25]",0.0323808511637288,0.000186734206310128,0.0146979501086521,0.00526137950717906,0.0217030390291658,0.0320569975307323,0.0425084859894219,0.0618876681925617,6195.34901731862,1.0006600957353
"lambda[26]",0.0297319786034608,0.000168853142880217,0.0141243370300716,0.00436625022248827,0.0194300719793934,0.0290970276778993,0.0393046670234946,0.0584754743362625,6997.09623057785,1.00022186093677
"lambda[27]",0.0278856645413591,0.000150537044657177,0.0137242999753347,0.00397357312725368,0.0177761401906267,0.0270130923996539,0.0370524764208659,0.0567234296176108,8311.77220888584,1.00004721896893
"lambda[28]",0.0261907273188045,0.000133800152739401,0.0135426466047405,0.00336902846405332,0.0160685367671819,0.0252372438521928,0.0351348309660155,0.0549750304745935,10244.5732723334,0.99995559326494
"lambda[29]",0.0245444584160646,0.000125457245818927,0.0130314326151527,0.00273806160441887,0.0149224686867551,0.0234357770170769,0.0329629136824493,0.0523161974072473,10789.2890190707,1.00001153456032
"lambda[30]",0.0233004610291286,0.000118661869519598,0.0126710736136189,0.00270068981490581,0.0138497332486973,0.0221376880331898,0.0312669163230629,0.0511232366875306,11402.6148495904,1.00025597400283
"lambda[31]",0.0223596112076876,0.000119189497612543,0.0125355588141604,0.00213218132485332,0.0130582634098114,0.0211240637201912,0.030307874383032,0.0500440510191788,11061.433665698,1.0002407168542
"lambda[32]",0.0214618719533854,0.00011460418193106,0.0121963052737574,0.00192685270957848,0.0123748002645943,0.0201775078027742,0.0292117369033864,0.0485965845402099,11325.4545517069,1.00042279426357
"lambda[33]",0.0205062818095193,0.00010906627580951,0.0118715293954571,0.00186262943840485,0.0115335181022429,0.0193164151744945,0.0278730214415034,0.047150854660337,11847.6543841118,1.00034096724002
"lambda[34]",0.0196625797604855,0.000106000485546147,0.0116964552122363,0.00166068842789893,0.0108104333502169,0.0182810679662178,0.0269066485036688,0.0459010670105441,12175.6684956397,1.00035009915067
"lambda[35]",0.018840202502035,0.000102121103509211,0.0114523043065558,0.00145270288481096,0.0101326517184991,0.0173795549910769,0.0257657647437181,0.0449828783130914,12576.3542095644,1.00021349781945
"lambda[36]",0.0183380152434881,9.92333325570056e-05,0.0111909487312994,0.00148367227908633,0.00986383070324251,0.0168491010042191,0.0251670388002766,0.0438086859295131,12717.9952719467,1.00021477716027
"lambda[37]",0.0181961255923926,9.63809473415521e-05,0.0111217720160003,0.00146368866892215,0.00983219558862834,0.0166552662560325,0.0249787880600016,0.043634790117459,13315.7488445208,1.00018286753254
"lambda[38]",0.0179427044507937,9.37751111221426e-05,0.0109781053515875,0.00148034308570021,0.00957850161208696,0.0164969076618641,0.0246743049239033,0.043078515896965,13705.0181002467,1.00004338484257
"lambda[39]",0.0176211100316245,9.46467240424839e-05,0.0109936754283342,0.00123501587121043,0.00928475154942518,0.0161565420016474,0.02426545894701,0.0430938337721234,13491.9476915615,1.00000010747668
