"","mean","se_mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","n_eff","Rhat"
"lambda",0.577557268515266,0.00127125437014447,0.0914398077160508,0.425538611765183,0.512663936581014,0.568909739130413,0.630804852600568,0.783458766274701,5173.7529910514,1.00053005966262
"gamma",0.098192034526009,0.000272781009612651,0.0198609138054882,0.0658535846372629,0.084096741864529,0.0960788619232471,0.10977441340867,0.143524941378244,5301.15116248455,1.0004488825572
"lambda_exp_2006[1]",0.417372681343805,0.000620902280520569,0.0449064140917154,0.335671343833743,0.385789795518154,0.415514201087335,0.445983620885139,0.511860905930828,5230.82563665755,1.00054186187919
"lambda_exp_2006[2]",0.628547363322506,0.000614564088775644,0.0448265701651601,0.540152499383255,0.597807123797433,0.629038979149499,0.658998185369106,0.715775363180957,5320.3066294091,1.00056023465659
"lambda_exp_2006[3]",0.736653391306486,0.000460252557355426,0.0341285904021649,0.664795872983002,0.714235019149576,0.738747573802818,0.760659058044968,0.797880727335601,5498.50066291279,1.00058386057393
"lambda_exp_2006[4]",0.792604697693726,0.00030645659580517,0.0237221561281823,0.740346567448777,0.777875101015244,0.794829026337974,0.809562167876063,0.832860058667203,5991.98025734478,1.00060497324378
"lambda_exp_2006[5]",0.821861439979154,0.000191373309930824,0.0164128676238359,0.785312120870406,0.811987182852588,0.823355014365925,0.833377018326775,0.850091095307468,7355.39832977967,1.00059966288974
"lambda_exp_2006[6]",0.837308099865735,0.000114968109304587,0.0123455305440778,0.811169428632028,0.829499744640727,0.837953829308088,0.845812625535798,0.859633401563586,11530.9406822337,1.00053607917579
"lambda_exp_2006[7]",0.845538145389807,8.30392760720991e-05,0.0106782987177837,0.823818969698702,0.838475940813414,0.845831986663641,0.852851684217375,0.865692748986084,16536.2497450513,1.00043847979233
"lambda_exp_2006[8]",0.849961167989419,7.87101572838547e-05,0.0102732680867662,0.829258878477347,0.843093559730443,0.85018133679026,0.856978362294182,0.869599191752408,17035.5312840968,1.00036920311082
